Rank,Age Group,Cause Category,Deaths,Percentage,Crude Rate,Applied Filters
1,<1,Congenital Anomalies,4043,30.6,108.2,"All Deaths with drilldown to ICD codes, All States state(s), All Races race(s), All Ethnicities Ethincity, All Sexes, Year Range: 2020 - 2020, 1-14 in 5-years groups; 15-65 in  10-year groups"
2,<1,Short Gestation,3141,23.8,84.1,"All Deaths with drilldown to ICD codes, All States state(s), All Races race(s), All Ethnicities Ethincity, All Sexes, Year Range: 2020 - 2020, 1-14 in 5-years groups; 15-65 in  10-year groups"
3,<1,Sids,1389,10.5,37.2,"All Deaths with drilldown to ICD codes, All States state(s), All Races race(s), All Ethnicities Ethincity, All Sexes, Year Range: 2020 - 2020, 1-14 in 5-years groups; 15-65 in  10-year groups"
4,<1,Unintentional Injury,1194,9.0,32.0,"All Deaths with drilldown to ICD codes, All States state(s), All Races race(s), All Ethnicities Ethincity, All Sexes, Year Range: 2020 - 2020, 1-14 in 5-years groups; 15-65 in  10-year groups"
5,<1,Maternal Pregnancy Comp.,1116,8.4,29.9,"All Deaths with drilldown to ICD codes, All States state(s), All Races race(s), All Ethnicities Ethincity, All Sexes, Year Range: 2020 - 2020, 1-14 in 5-years groups; 15-65 in  10-year groups"
6,<1,Placenta  Cord Membranes,700,5.3,18.7,"All Deaths with drilldown to ICD codes, All States state(s), All Races race(s), All Ethnicities Ethincity, All Sexes, Year Range: 2020 - 2020, 1-14 in 5-years groups; 15-65 in  10-year groups"
7,<1,Bacterial Sepsis,542,4.1,14.5,"All Deaths with drilldown to ICD codes, All States state(s), All Races race(s), All Ethnicities Ethincity, All Sexes, Year Range: 2020 - 2020, 1-14 in 5-years groups; 15-65 in  10-year groups"
8,<1,Respiratory Distress,388,2.9,10.4,"All Deaths with drilldown to ICD codes, All States state(s), All Races race(s), All Ethnicities Ethincity, All Sexes, Year Range: 2020 - 2020, 1-14 in 5-years groups; 15-65 in  10-year groups"
9,<1,Circulatory System Disease,386,2.9,10.3,"All Deaths with drilldown to ICD codes, All States state(s), All Races race(s), All Ethnicities Ethincity, All Sexes, Year Range: 2020 - 2020, 1-14 in 5-years groups; 15-65 in  10-year groups"
10,<1,Neonatal Hemorrhage,317,2.4,8.5,"All Deaths with drilldown to ICD codes, All States state(s), All Races race(s), All Ethnicities Ethincity, All Sexes, Year Range: 2020 - 2020, 1-14 in 5-years groups; 15-65 in  10-year groups"
1,1-4,Unintentional Injury,1153,45.5,7.4,"All Deaths with drilldown to ICD codes, All States state(s), All Races race(s), All Ethnicities Ethincity, All Sexes, Year Range: 2020 - 2020, 1-14 in 5-years groups; 15-65 in  10-year groups"
2,1-4,Congenital Anomalies,382,15.1,2.5,"All Deaths with drilldown to ICD codes, All States state(s), All Races race(s), All Ethnicities Ethincity, All Sexes, Year Range: 2020 - 2020, 1-14 in 5-years groups; 15-65 in  10-year groups"
3,1-4,Homicide,311,12.3,2.0,"All Deaths with drilldown to ICD codes, All States state(s), All Races race(s), All Ethnicities Ethincity, All Sexes, Year Range: 2020 - 2020, 1-14 in 5-years groups; 15-65 in  10-year groups"
4,1-4,Malignant Neoplasms,307,12.1,2.0,"All Deaths with drilldown to ICD codes, All States state(s), All Races race(s), All Ethnicities Ethincity, All Sexes, Year Range: 2020 - 2020, 1-14 in 5-years groups; 15-65 in  10-year groups"
5,1-4,Heart Disease,112,4.4,0.7,"All Deaths with drilldown to ICD codes, All States state(s), All Races race(s), All Ethnicities Ethincity, All Sexes, Year Range: 2020 - 2020, 1-14 in 5-years groups; 15-65 in  10-year groups"
6,1-4,Influenza & Pneumonia,84,3.3,0.5,"All Deaths with drilldown to ICD codes, All States state(s), All Races race(s), All Ethnicities Ethincity, All Sexes, Year Range: 2020 - 2020, 1-14 in 5-years groups; 15-65 in  10-year groups"
7,1-4,Cerebrovascular,55,2.2,0.4,"All Deaths with drilldown to ICD codes, All States state(s), All Races race(s), All Ethnicities Ethincity, All Sexes, Year Range: 2020 - 2020, 1-14 in 5-years groups; 15-65 in  10-year groups"
8,1-4,Perinatal Period,54,2.1,0.3,"All Deaths with drilldown to ICD codes, All States state(s), All Races race(s), All Ethnicities Ethincity, All Sexes, Year Range: 2020 - 2020, 1-14 in 5-years groups; 15-65 in  10-year groups"
9,1-4,Septicemia,43,1.7,0.3,"All Deaths with drilldown to ICD codes, All States state(s), All Races race(s), All Ethnicities Ethincity, All Sexes, Year Range: 2020 - 2020, 1-14 in 5-years groups; 15-65 in  10-year groups"
10,1-4,Benign Neoplasms,35,1.4,0.2,"All Deaths with drilldown to ICD codes, All States state(s), All Races race(s), All Ethnicities Ethincity, All Sexes, Year Range: 2020 - 2020, 1-14 in 5-years groups; 15-65 in  10-year groups"
1,10-14,Unintentional Injury,881,33.2,4.2,"All Deaths with drilldown to ICD codes, All States state(s), All Races race(s), All Ethnicities Ethincity, All Sexes, Year Range: 2020 - 2020, 1-14 in 5-years groups; 15-65 in  10-year groups"
2,10-14,Suicide,581,21.9,2.8,"All Deaths with drilldown to ICD codes, All States state(s), All Races race(s), All Ethnicities Ethincity, All Sexes, Year Range: 2020 - 2020, 1-14 in 5-years groups; 15-65 in  10-year groups"
3,10-14,Malignant Neoplasms,410,15.4,2.0,"All Deaths with drilldown to ICD codes, All States state(s), All Races race(s), All Ethnicities Ethincity, All Sexes, Year Range: 2020 - 2020, 1-14 in 5-years groups; 15-65 in  10-year groups"
4,10-14,Homicide,285,10.7,1.4,"All Deaths with drilldown to ICD codes, All States state(s), All Races race(s), All Ethnicities Ethincity, All Sexes, Year Range: 2020 - 2020, 1-14 in 5-years groups; 15-65 in  10-year groups"
5,10-14,Congenital Anomalies,150,5.6,0.7,"All Deaths with drilldown to ICD codes, All States state(s), All Races race(s), All Ethnicities Ethincity, All Sexes, Year Range: 2020 - 2020, 1-14 in 5-years groups; 15-65 in  10-year groups"
6,10-14,Heart Disease,111,4.2,0.5,"All Deaths with drilldown to ICD codes, All States state(s), All Races race(s), All Ethnicities Ethincity, All Sexes, Year Range: 2020 - 2020, 1-14 in 5-years groups; 15-65 in  10-year groups"
7,10-14,Chronic Low. Respiratory Disease,93,3.5,0.4,"All Deaths with drilldown to ICD codes, All States state(s), All Races race(s), All Ethnicities Ethincity, All Sexes, Year Range: 2020 - 2020, 1-14 in 5-years groups; 15-65 in  10-year groups"
8,10-14,Diabetes Mellitus,50,1.9,0.2,"All Deaths with drilldown to ICD codes, All States state(s), All Races race(s), All Ethnicities Ethincity, All Sexes, Year Range: 2020 - 2020, 1-14 in 5-years groups; 15-65 in  10-year groups"
8,10-14,Influenza & Pneumonia,50,1.9,0.2,"All Deaths with drilldown to ICD codes, All States state(s), All Races race(s), All Ethnicities Ethincity, All Sexes, Year Range: 2020 - 2020, 1-14 in 5-years groups; 15-65 in  10-year groups"
10,10-14,Cerebrovascular,44,1.7,0.2,"All Deaths with drilldown to ICD codes, All States state(s), All Races race(s), All Ethnicities Ethincity, All Sexes, Year Range: 2020 - 2020, 1-14 in 5-years groups; 15-65 in  10-year groups"
1,15-24,Unintentional Injury,15117,48.1,35.5,"All Deaths with drilldown to ICD codes, All States state(s), All Races race(s), All Ethnicities Ethincity, All Sexes, Year Range: 2020 - 2020, 1-14 in 5-years groups; 15-65 in  10-year groups"
2,15-24,Homicide,6466,20.6,15.2,"All Deaths with drilldown to ICD codes, All States state(s), All Races race(s), All Ethnicities Ethincity, All Sexes, Year Range: 2020 - 2020, 1-14 in 5-years groups; 15-65 in  10-year groups"
3,15-24,Suicide,6062,19.3,14.2,"All Deaths with drilldown to ICD codes, All States state(s), All Races race(s), All Ethnicities Ethincity, All Sexes, Year Range: 2020 - 2020, 1-14 in 5-years groups; 15-65 in  10-year groups"
4,15-24,Malignant Neoplasms,1306,4.2,3.1,"All Deaths with drilldown to ICD codes, All States state(s), All Races race(s), All Ethnicities Ethincity, All Sexes, Year Range: 2020 - 2020, 1-14 in 5-years groups; 15-65 in  10-year groups"
5,15-24,Heart Disease,870,2.8,2.0,"All Deaths with drilldown to ICD codes, All States state(s), All Races race(s), All Ethnicities Ethincity, All Sexes, Year Range: 2020 - 2020, 1-14 in 5-years groups; 15-65 in  10-year groups"
6,15-24,Covid-19,501,1.6,1.2,"All Deaths with drilldown to ICD codes, All States state(s), All Races race(s), All Ethnicities Ethincity, All Sexes, Year Range: 2020 - 2020, 1-14 in 5-years groups; 15-65 in  10-year groups"
7,15-24,Congenital Anomalies,384,1.2,0.9,"All Deaths with drilldown to ICD codes, All States state(s), All Races race(s), All Ethnicities Ethincity, All Sexes, Year Range: 2020 - 2020, 1-14 in 5-years groups; 15-65 in  10-year groups"
8,15-24,Diabetes Mellitus,312,1.0,0.7,"All Deaths with drilldown to ICD codes, All States state(s), All Races race(s), All Ethnicities Ethincity, All Sexes, Year Range: 2020 - 2020, 1-14 in 5-years groups; 15-65 in  10-year groups"
9,15-24,Chronic Low. Respiratory Disease,220,0.7,0.5,"All Deaths with drilldown to ICD codes, All States state(s), All Races race(s), All Ethnicities Ethincity, All Sexes, Year Range: 2020 - 2020, 1-14 in 5-years groups; 15-65 in  10-year groups"
10,15-24,Complicated Pregnancy,191,0.6,0.4,"All Deaths with drilldown to ICD codes, All States state(s), All Races race(s), All Ethnicities Ethincity, All Sexes, Year Range: 2020 - 2020, 1-14 in 5-years groups; 15-65 in  10-year groups"
1,25-34,Unintentional Injury,31315,51.6,68.0,"All Deaths with drilldown to ICD codes, All States state(s), All Races race(s), All Ethnicities Ethincity, All Sexes, Year Range: 2020 - 2020, 1-14 in 5-years groups; 15-65 in  10-year groups"
2,25-34,Suicide,8454,13.9,18.4,"All Deaths with drilldown to ICD codes, All States state(s), All Races race(s), All Ethnicities Ethincity, All Sexes, Year Range: 2020 - 2020, 1-14 in 5-years groups; 15-65 in  10-year groups"
3,25-34,Homicide,7125,11.7,15.5,"All Deaths with drilldown to ICD codes, All States state(s), All Races race(s), All Ethnicities Ethincity, All Sexes, Year Range: 2020 - 2020, 1-14 in 5-years groups; 15-65 in  10-year groups"
4,25-34,Heart Disease,3984,6.6,8.6,"All Deaths with drilldown to ICD codes, All States state(s), All Races race(s), All Ethnicities Ethincity, All Sexes, Year Range: 2020 - 2020, 1-14 in 5-years groups; 15-65 in  10-year groups"
5,25-34,Malignant Neoplasms,3573,5.9,7.8,"All Deaths with drilldown to ICD codes, All States state(s), All Races race(s), All Ethnicities Ethincity, All Sexes, Year Range: 2020 - 2020, 1-14 in 5-years groups; 15-65 in  10-year groups"
6,25-34,Covid-19,2254,3.7,4.9,"All Deaths with drilldown to ICD codes, All States state(s), All Races race(s), All Ethnicities Ethincity, All Sexes, Year Range: 2020 - 2020, 1-14 in 5-years groups; 15-65 in  10-year groups"
7,25-34,Liver Disease,1631,2.7,3.5,"All Deaths with drilldown to ICD codes, All States state(s), All Races race(s), All Ethnicities Ethincity, All Sexes, Year Range: 2020 - 2020, 1-14 in 5-years groups; 15-65 in  10-year groups"
